,Predicted Confirmed Cases
269,1520.851
270,1522.1787
271,1523.4176
272,1524.429
273,1525.1055
274,1525.3799
275,1525.2202
276,1524.6233
277,1523.6044
278,1522.1926
279,1520.4216
280,1518.3279
281,1515.9474
282,1513.3134
283,1510.4558
284,1507.3998
285,1504.1674
286,1556.6338
287,1640.203
288,1634.5862
289,1624.0953
290,1612.1091
291,1601.1842
292,1592.4397
293,1585.8463
294,1580.8608
295,1576.9548
296,1573.7941
297,1571.1725
298,1568.9756
299,1567.2178
300,1616.2126
301,1589.95
302,1582.3916
303,1572.2195
304,1562.1498
305,1553.5603
306,1546.935
307,1542.25
308,1539.1931
309,1537.356
310,1536.3247
311,1535.8717
312,1535.8428
313,1536.0836
314,1536.4376
315,1536.748
316,1536.8768
317,1536.7195
318,1536.2102
319,1535.3168
320,1534.0343
321,1532.3755
322,1530.3644
323,1528.0309
324,1525.4072
325,1522.525
326,1519.4146
327,1516.1017
328,1512.6102
329,1579.2151
330,1680.6259
331,1674.1312
332,1661.8785
333,1647.0999
334,1632.8441
335,1620.9
336,1611.6818
337,1604.7244
338,1599.3219
339,1594.9241
340,1591.1913
341,1587.873
342,1584.9307
343,1644.1719
344,1632.7753
345,1623.3837
346,1610.2803
347,1596.6915
348,1584.5284
349,1574.5641
350,1566.9171
351,1561.3275
352,1557.358
353,1554.5648
354,1552.5209
355,1551.0833
356,1550.0914
357,1549.4014
358,1548.8599
359,1548.3129
360,1547.6263
361,1546.6991
362,1545.467
363,1543.8983
364,1541.9852
365,1539.7372
366,1537.1742
367,1534.3221
368,1531.2092
369,1527.864
370,1524.3129
371,1520.5804
372,1601.1483
373,1718.4209
374,1711.8303
375,1698.8369
376,1682.1174
377,1664.9683
378,1649.8302
379,1637.7358
380,1628.535
381,1621.4866
382,1615.8368
383,1611.0554
384,1606.7937
385,1602.8142
386,1671.6001
387,1672.9873
388,1663.0413
389,1648.0647
390,1631.5892
391,1616.1361
392,1602.9211
393,1592.287
394,1584.0829
395,1577.887
396,1573.2037
397,1569.5697
398,1566.6543
399,1564.3267
400,1562.4539
401,1560.906
402,1559.5363
403,1558.196
404,1556.7555
405,1555.1171
406,1553.2185
407,1551.027
408,1548.5327
409,1545.7412
410,1542.669
411,1539.3384
412,1535.7743
413,1532.0022
414,1528.0466
415,1622.375
416,1753.0809
417,1747.1975
418,1734.3292
419,1716.754
420,1697.4146
421,1679.3278
422,1664.2234
423,1652.4746
424,1643.5201
425,1636.4902
426,1630.6567
427,1625.521
428,1620.7076
429,1698.4823
430,1709.6447
431,1700.4255
432,1684.8292
433,1666.3654
434,1648.1
435,1631.8335
436,1618.2561
437,1607.3982
438,1598.9082
439,1592.2736
440,1586.9912
441,1582.6064
442,1578.8986
443,1575.7539
444,1573.069
445,1570.7281
446,1568.592
447,1566.5176
448,1564.3796
449,1562.0842
450,1559.5701
451,1556.8032
452,1553.7716
453,1550.4778
454,1546.9354
455,1543.1637
456,1539.1847
457,1535.0222
458,1642.8601
459,1784.0592
460,1779.6123
461,1767.7767
462,1750.3286
463,1729.815
464,1709.3156
465,1691.2927
466,1676.775
467,1665.6023
468,1656.9603
469,1649.9667
470,1643.9503
471,1638.441
472,1724.7844
473,1741.924
474,1734.5332
475,1719.66
476,1700.3445
477,1679.9893
478,1661.036
479,1644.6608
480,1631.1721
481,1620.3578
482,1611.7312
483,1604.7494
484,1598.9358
485,1593.8656
486,1589.4285
487,1585.5316
488,1582.0986
489,1579.0264
490,1576.1819
491,1573.4282
492,1570.645
493,1567.7415
494,1564.6567
495,1561.3566
496,1557.8271
497,1554.0685
498,1550.092
499,1545.9143
500,1541.5566
501,1662.5635
502,1810.8843
503,1808.4696
504,1798.4408
505,1782.113
506,1761.5095
507,1739.4562
508,1718.8972
509,1701.5905
510,1687.941
511,1677.4019
512,1669.0536
513,1662.0684
514,1655.835
515,1750.3633
516,1769.297
517,1764.607
518,1751.5603
519,1732.7078
520,1711.2136
521,1690.1337
522,1671.2406
523,1655.229
524,1642.1118
525,1631.4878
526,1622.8022
527,1615.5251
528,1609.2108
529,1603.5314
530,1598.4263
531,1593.8417
532,1589.7236
533,1585.9788
534,1582.481
535,1579.0988
536,1575.7173
537,1572.2485
538,1568.6333
539,1564.8372
540,1560.8445
541,1556.6552
542,1552.2786
543,1547.73
544,1681.4089
545,1833.4036
546,1833.3481
547,1825.6753
548,1811.3241
549,1791.6592
550,1769.1521
551,1746.7253
552,1726.8787
553,1710.6615
554,1697.9712
555,1688.0295
556,1679.9202
557,1672.8959
558,1774.922
559,1791.6138
560,1790.1412
561,1779.8486
562,1762.5675
563,1741.1006
564,1718.6323
565,1697.6421
566,1679.3126
567,1663.9713
568,1651.3828
569,1641.0194
570,1632.3159
571,1624.7826
572,1618.0131
573,1611.7863
574,1606.0796
575,1600.8745
576,1596.1342
577,1591.7737
578,1587.6736
579,1583.7091
580,1579.7709
581,1575.775
582,1571.664
583,1567.404
584,1562.9802
585,1558.392
586,1553.648
587,1699.2661
588,1851.749
589,1854.0896
590,1849.0669
591,1837.2922
592,1819.5242
593,1797.5603
594,1774.2382
595,1752.3582
596,1733.7104
597,1718.7401
598,1706.9835
599,1697.5654
600,1689.633
601,1798.0703
602,1809.1482
603,1811.0199
604,1804.0096
605,1789.3025
606,1768.9515
607,1746.0243
608,1723.4772
609,1703.1268
610,1685.6936
611,1671.1973
612,1659.2043
613,1649.1296
614,1640.4357
615,1632.6832
616,1625.516
617,1618.8092
618,1612.5736
619,1606.8179
620,1601.5177
621,1596.596
622,1591.941
623,1587.4358
624,1582.9779
625,1578.4878
626,1573.9121
627,1569.2186
628,1564.3934
629,1559.4373
630,1715.9541
631,1866.3129
632,1870.8745
633,1868.5566
634,1859.6019
635,1844.4368
636,1824.0234
637,1800.7687
638,1777.5728
639,1756.8457
640,1739.6414
641,1725.9266
642,1715.0223
643,1706.0483
644,1819.4539
645,1822.3618
646,1827.4108
647,1823.9235
648,1812.4202
649,1794.2153
650,1771.8375
651,1748.396
652,1726.3981
653,1707.0547
654,1690.7146
655,1677.132
656,1665.7444
657,1655.9661
658,1647.3042
659,1639.3765
660,1631.8787
661,1624.7676
662,1618.0804
663,1611.8447
664,1606.0454
665,1600.6136
666,1595.448
667,1590.4406
668,1585.4973
669,1580.5447
670,1575.5337
671,1570.4358
672,1565.24
673,1731.2802
674,1877.5569
675,1884.1151
676,1884.3586
677,1878.222
678,1865.977
679,1847.9446
680,1825.6709
681,1802.0278
682,1779.7174
683,1760.4879
684,1744.7859
685,1732.25
686,1722.1014
687,1838.8665
688,1831.8008
689,1839.747
690,1839.7069
691,1831.707
692,1816.4471
693,1795.5947
694,1772.1133
695,1748.9202
696,1727.8997
697,1709.7931
698,1694.6287
699,1681.9517
700,1671.1461
701,1661.6599
702,1653.0537
703,1645.0
704,1637.246
705,1629.811
706,1622.7494
707,1616.1014
708,1609.8602
709,1603.9673
710,1598.3329
711,1592.8608
712,1587.4666
713,1582.0837
714,1576.6691
715,1571.1992
716,1745.0951
717,1885.9358
718,1894.2485
719,1896.7646
720,1893.3358
721,1884.0587
722,1868.894
723,1848.5201
724,1825.2356
725,1801.9824
726,1781.0515
727,1763.4469
728,1749.1876
729,1737.7152
730,1856.2668
731,1837.9956
732,1848.5112
733,1851.6135
734,1847.1604
735,1835.335
736,1816.944
737,1794.3192
738,1770.5471
739,1748.1481
740,1728.3898
741,1711.6338
742,1697.6333
743,1685.8062
744,1675.5396
745,1666.3358
746,1657.8088
747,1649.6814
748,1641.7457
749,1634.0642
750,1626.7
751,1619.7013
752,1613.0708
753,1606.7626
754,1600.7013
755,1594.8037
756,1588.9954
757,1583.2192
758,1577.4387
759,1757.342
760,1891.844
761,1901.69
762,1906.2197
763,1905.2714
764,1898.7931
765,1886.6909
766,1868.9012
767,1846.8413
768,1823.366
769,1801.1348
770,1781.8071
771,1765.8033
772,1752.8643
773,1871.7191
774,1841.4138
775,1854.1803
776,1860.0989
777,1858.9893
778,1850.721
779,1835.5172
780,1814.679
781,1791.1337
782,1767.7561
783,1746.5256
784,1728.197
785,1712.8024
786,1699.8915
787,1688.8293
788,1679.0485
789,1670.1134
790,1661.6875
791,1653.5359
792,1645.4874
793,1637.6259
794,1630.019
795,1622.7219
796,1615.7484
797,1609.0686
798,1602.6229
799,1596.3424
800,1590.1636
801,1584.0388
802,1768.0643
803,1895.6011
804,1906.7947
805,1913.1143
806,1914.3536
807,1910.4485
808,1901.3245
809,1886.5431
810,1866.5331
811,1843.5769
812,1820.5946
813,1799.8007
814,1782.1173
815,1767.6069
816,1885.325
817,1842.4502
818,1857.1804
819,1865.6023
820,1867.4814
821,1862.6658
822,1851.0045
823,1832.8733
824,1810.3838
825,1786.6631
826,1764.2303
827,1744.4149
828,1727.5741
829,1713.4738
830,1701.5382
831,1691.1428
832,1681.7905
833,1673.1082
834,1664.8013
835,1656.6672
836,1648.5599
837,1640.5685
838,1632.7637
839,1625.208
840,1617.9312
841,1610.9209
842,1604.1355
843,1597.5198
844,1591.0222
845,1777.3811
846,1897.4572
847,1909.849
848,1917.7671
849,1920.9407
850,1919.3638
851,1912.9553
852,1901.2837
853,1883.9939
854,1862.374
855,1839.3087
856,1817.3857
857,1798.1738
858,1782.0664
859,1897.2233
860,1841.4364
861,1857.8765
862,1868.515
863,1873.0502
864,1871.4136
865,1863.2867
866,1848.4935
867,1828.0305
868,1804.7104
869,1781.4977
870,1760.3668
871,1742.0931
872,1726.7059
873,1713.778
874,1702.6836
875,1692.854
876,1683.875
877,1675.4292
878,1667.253
879,1659.1652
880,1651.034
881,1642.9425
882,1634.9658
883,1627.1796
884,1619.6313
885,1612.3301
886,1605.2512
887,1598.3547
888,1785.4465
889,1897.6084
890,1911.0778
891,1920.4338
892,1925.3628
893,1925.8403
894,1921.8594
895,1913.1338
896,1898.9277
897,1879.4902
898,1857.0422
899,1834.5156
900,1814.0046
901,1796.3735
902,1907.5052
903,1838.6545
904,1856.5792
905,1869.1761
906,1876.0878
907,1877.2527
908,1872.4613
909,1861.248
910,1843.6702
911,1821.6372
912,1798.2361
913,1776.0801
914,1756.4688
915,1739.7543
916,1725.7158
917,1713.807
918,1703.4133
919,1694.055
920,1685.4006
921,1677.1749
922,1669.1342
923,1661.1044
924,1652.9634
925,1644.7803
926,1636.6416
927,1628.641
928,1620.8478
929,1613.2928
930,1605.97
931,1792.4137
932,1896.2122
933,1910.6586
934,1921.3174
935,1927.8544
936,1930.1537
937,1928.3541
938,1922.2621
939,1911.1738
940,1894.5543
941,1873.5812
942,1851.0642
943,1829.6077
944,1810.6122
945,1916.2426
946,1834.351
947,1853.5576
948,1867.8773
949,1876.9193
950,1880.5576
951,1878.7847
952,1871.0522
953,1856.893
954,1837.0802
955,1814.2699
956,1791.5099
957,1770.7487
958,1752.7427
959,1737.518
960,1724.6753
961,1713.617
962,1703.7916
963,1694.8246
964,1686.4542
965,1678.4327
966,1670.5215
967,1662.5444
968,1654.3865
969,1646.1025
970,1637.7982
971,1629.5903
972,1621.5743
973,1613.8035
974,1798.4164
975,1893.4014
976,1908.7369
977,1920.5807
978,1928.5995
979,1932.585
980,1932.7083
981,1928.935
982,1920.7528
983,1907.2559
984,1888.587
985,1866.8599
986,1844.9084
987,1824.8053
988,1923.4934
989,1828.7451
990,1849.0498
991,1864.8738
992,1875.8226
993,1881.6818
994,1882.5325
995,1878.0284
996,1867.4375
997,1850.6223
998,1829.3174
999,1806.5205
1000,1784.9198
1001,1765.731
1002,1749.3083
1003,1735.4393
1004,1723.6113
1005,1713.2368
1006,1703.866
1007,1695.2277
1008,1687.1105
1009,1679.2748
1010,1671.4758
1011,1663.5295
1012,1655.3309
1013,1646.9224
1014,1638.4402
1015,1630.029
1016,1621.8116
1017,1803.5632
1018,1889.2932
1019,1905.4374
1020,1918.3606
1021,1927.7471
1022,1933.3138
1023,1935.1447
1024,1933.4465
1025,1927.8386
1026,1917.4459
1027,1901.6641
1028,1881.5643
1029,1859.7885
1030,1838.9113
1031,1929.3121
1032,1822.0156
1033,1843.2703
1034,1860.3948
1035,1873.0398
1036,1880.9055
1037,1884.0532
1038,1882.4324
1039,1875.2534
1040,1861.876
1041,1842.94
1042,1820.9205
1043,1798.874
1044,1778.7219
1045,1761.1539
1046,1746.2124
1047,1733.5209
1048,1722.5168
1049,1712.6775
1050,1703.6731
1051,1695.3201
1052,1687.4312
1053,1679.7583
1054,1672.0425
1055,1664.0892
1056,1655.814
1057,1647.2505
1058,1638.5762
1059,1629.9667
1060,1807.9408
1061,1883.9984
1062,1900.8743
1063,1914.7795
1064,1925.4258
1065,1932.4827
1066,1935.9141
1067,1936.032
1068,1932.6871
1069,1925.1636
1070,1912.5135
1071,1894.8245
1072,1874.0245
1073,1852.8273
1074,1933.7533
1075,1814.3256
1076,1836.4172
1077,1854.6515
1078,1868.7892
1079,1878.4692
1080,1883.6694
1081,1884.5189
1082,1880.4761
1083,1870.6184
1084,1854.729
1085,1834.3735
1086,1812.4907
1087,1791.6494
1088,1773.0702
1089,1757.0618
1090,1743.4404
1091,1731.7261
1092,1721.3658
1093,1711.9426
1094,1703.2455
1095,1695.1489
1096,1687.4655
1097,1679.925
1098,1672.2506
1099,1664.2427
1100,1655.8375
1101,1647.1005
1102,1638.2231
1103,1811.6136
1104,1877.6249
1105,1895.1587
1106,1909.9531
1107,1921.7539
1108,1930.2115
1109,1935.1691
1110,1936.8987
1111,1935.5703
1112,1930.587
1113,1921.0145
1114,1906.2513
1115,1887.2483
1116,1866.4092
1117,1936.8757
1118,1805.8931
1119,1828.6663
1120,1847.8418
1121,1863.2742
1122,1874.5844
1123,1881.6377
1124,1884.6262
1125,1883.3551
1126,1876.8281
1127,1864.3447
1128,1846.4653
1129,1825.5178
1130,1804.421
1131,1785.0266
1132,1768.0153
1133,1753.4327
1134,1740.9344
1135,1729.9967
1136,1720.1294
1137,1711.0393
1138,1702.6144
1139,1694.7548
1140,1687.2494
1141,1679.8008
1142,1672.1161
1143,1664.0002
1144,1655.4156
1145,1646.4805
1146,1814.6455
1147,1870.2834
1148,1888.4016
1149,1903.996
1150,1916.8483
1151,1926.6125
1152,1933.0334
1153,1936.2754
1154,1936.6863
1155,1933.959
1156,1927.2242
1157,1915.5789
1158,1899.0648
1159,1879.3828
1160,1938.7412
1161,1796.8878
1162,1820.1472
1163,1840.1548
1164,1856.6893
1165,1869.446
1166,1878.1803
1167,1883.0537
1168,1884.1202
1169,1880.6482
1170,1871.6068
1171,1856.7878
1172,1837.6062
1173,1816.8699
1174,1796.9471
1175,1779.0714
1176,1763.5353
1177,1750.1965
1178,1738.613
1179,1728.2737
1180,1718.7869
1181,1709.9812
1182,1701.8103
1183,1694.1675
1184,1686.8063
1185,1679.3989
1186,1671.6455
1187,1663.369
1188,1654.5698
1189,1817.1226
1190,1862.0905
1191,1880.72
1192,1897.0264
1193,1910.8273
1194,1921.7983
1195,1929.6162
1196,1934.3076
1197,1936.2627
1198,1935.5266
1199,1931.3186
1200,1922.7166
1201,1909.1371
1202,1891.3889
1203,1939.414
1204,1787.4716
1205,1811.0874
1206,1831.7562
1207,1849.2236
1208,1863.2415
1209,1873.4956
1210,1880.051
1211,1883.1218
1212,1882.3025
1213,1876.5188
1214,1865.037
1215,1848.3652
1216,1828.7238
1217,1808.7384
1218,1790.1741
1219,1773.7648
1220,1759.5542
1221,1747.2549
1222,1736.3927
1223,1726.5117
1224,1717.3351
1225,1708.791
1226,1700.8617
1227,1693.4098
1228,1686.1467
1229,1678.7218
1230,1670.84
1231,1662.357
1232,1819.1178
1233,1853.101
1234,1872.2378
1235,1889.169
1236,1903.8162
1237,1915.8868
1238,1925.0239
1239,1931.1155
1240,1934.503
1241,1935.4558
1242,1933.5264
1243,1927.7323
1244,1917.2384
1245,1902.0272
1246,1938.96
1247,1777.7965
1248,1801.6492
1249,1822.7803
1250,1841.0612
1251,1856.1547
1252,1867.7682
1253,1875.8384
1254,1880.6396
1255,1882.0564
1256,1879.2289
1257,1871.0938
1258,1857.4417
1259,1839.6432
1260,1820.2017
1261,1801.2815
1262,1784.1085
1263,1769.0428
1264,1755.9661
1265,1744.5079
1266,1734.2078
1267,1724.6906
1268,1715.787
1269,1707.495
1270,1699.791
1271,1692.4921
1272,1685.2704
1273,1677.764
1274,1669.6984
1275,1820.7089
1276,1843.516
1277,1863.076
1278,1880.5568
1279,1895.947
1280,1909.0052
1281,1919.3687
1282,1926.8094
1283,1931.5564
1284,1934.0138
1285,1934.0333
1286,1930.7961
1287,1923.3022
1288,1911.0045
1289,1937.4486
1290,1767.9984
1291,1791.9832
1292,1813.4441
1293,1832.3462
1294,1848.3658
1295,1861.1747
1296,1870.6136
1297,1876.9264
1298,1880.2357
1299,1879.9414
1300,1874.9792
1301,1864.5884
1302,1849.2802
1303,1831.0619
1304,1812.2654
1305,1794.5408
1306,1778.6875
1307,1764.7963
1308,1752.6604
1309,1741.8766
1310,1732.024
1311,1722.8142
1312,1714.1687
1313,1706.1185
1314,1698.6113
1315,1691.4136
1316,1684.168
1317,1676.5172
1318,1821.9725
1319,1833.4843
1320,1853.3251
1321,1871.3313
1322,1887.3611
1323,1901.2905
1324,1912.773
1325,1921.4988
1326,1927.5514
1327,1931.3773
1328,1933.0852
1329,1932.0952
1330,1927.4021
1331,1918.1377
1332,1934.9512
1333,1758.1908
1334,1782.2217
1335,1803.8972
1336,1823.2391
1337,1840.0498
1338,1853.8871
1339,1864.5585
1340,1872.2084
1341,1877.1189
1342,1878.9756
1343,1876.84
1344,1869.7076
1345,1857.3417
1346,1841.0071
1347,1822.9166
1348,1805.0049
1349,1788.4741
1350,1773.7957
1351,1760.9105
1352,1749.5504
1353,1739.3162
1354,1729.8374
1355,1720.906
1356,1712.5077
1357,1704.6794
1358,1697.3232
1359,1690.1625
1360,1682.8248
1361,1822.9791
1362,1823.1567
1363,1843.1993
1364,1861.603
1365,1878.2069
1366,1892.8887
1367,1905.3712
1368,1915.2994
1369,1922.6094
1370,1927.7046
1371,1930.8992
1372,1931.8501
1373,1929.6948
1374,1923.3804
1375,1931.5433
1376,1748.4221
1377,1772.473
1378,1794.2688
1379,1813.9237
1380,1831.3086
1381,1846.0708
1382,1857.8402
1383,1866.6879
1384,1872.9629
1385,1876.6248
1386,1876.9369
1387,1872.8514
1388,1863.6372
1389,1849.7449
1390,1832.9703
1391,1815.3566
1392,1798.4088
1393,1782.9878
1394,1769.3278
1395,1757.2947
1396,1746.5865
1397,1736.8191
1398,1727.6692
1399,1718.9962
1400,1710.7935
1401,1703.1075
1402,1695.8174
1403,1688.6139
1404,1823.7853
1405,1812.6815
1406,1832.8497
1407,1851.5208
1408,1868.6375
1409,1883.9523
1410,1897.3088
1411,1908.3381
1412,1916.8496
1413,1923.141
1414,1927.6594
1415,1930.3031
1416,1930.3586
1417,1926.8119
1418,1927.3049
1419,1738.6847
1420,1762.7982
1421,1784.6619
1422,1804.5259
1423,1822.3441
1424,1837.8367
1425,1850.6122
1426,1860.5436
1427,1867.9972
1428,1873.1681
1429,1875.5574
1430,1874.1942
1431,1868.1052
1432,1857.0444
1433,1842.1543
1434,1825.3813
1435,1808.4077
1436,1792.4016
1437,1777.9731
1438,1765.1946
1439,1753.8988
1440,1743.7606
1441,1734.405
1442,1725.5276
1443,1717.0226
1444,1708.9886
1445,1701.4243
1446,1694.1482
1447,1824.4332
1448,1802.187
1449,1822.4209
1450,1841.2743
1451,1858.7354
1452,1874.6375
1453,1888.7383
1454,1900.7527
1455,1910.397
1456,1917.8264
1457,1923.5391
1458,1927.6595
1459,1929.6486
1460,1928.5828
1461,1922.3198
1462,1729.0437
1463,1753.2048
1464,1775.1434
1465,1795.1454
1466,1813.2815
1467,1829.3481
1468,1842.9641
1469,1853.8883
1470,1862.3756
1471,1868.8024
1472,1872.9465
1473,1873.9797
1474,1870.816
1475,1862.7648
1476,1850.2346
1477,1834.8331
1478,1818.3127
1479,1802.0186
1480,1786.8872
1481,1773.3407
1482,1761.3486
1483,1750.7173
1484,1741.0942
1485,1732.0443
1486,1723.3729
1487,1715.0538
1488,1707.1514
1489,1699.6345
1490,1824.9523
1491,1791.7429
1492,1812.0416
1493,1831.0022
1494,1848.7056
1495,1865.0671
1496,1879.8143
1497,1892.6885
1498,1903.3809
1499,1911.8962
1500,1918.7031
1501,1924.1152
1502,1927.7855
1503,1928.8921
1504,1916.6737
1505,1719.5593
1506,1743.6677
1507,1765.7021
1508,1785.8492
1509,1804.2186
1510,1820.7367
1511,1835.068
1512,1846.8898
1513,1856.3207
1514,1863.8145
1515,1869.4011
1516,1872.4358
1517,1871.9279
1518,1866.8723
1519,1857.0374
1520,1843.4835
1521,1827.9075
1522,1811.7375
1523,1796.1072
1524,1781.7876
1525,1769.0441
1526,1757.7903
1527,1747.7446
1528,1738.5221
1529,1729.7711
1530,1721.2932
1531,1713.0967
1532,1705.2491
1533,1825.3657
1534,1781.4246
1535,1801.792
1536,1820.8237
1537,1838.6896
1538,1855.3616
1539,1870.685
1540,1884.2931
1541,1895.9355
1542,1905.4845
1543,1913.3113
1544,1919.8586
1545,1924.9845
1546,1927.9861
1547,1910.4524
1548,1710.2145
1549,1734.2937
1550,1756.356
1551,1776.618
1552,1795.2167
1553,1812.0957
1554,1827.028
1555,1839.6626
1556,1849.9718
1557,1858.3969
1558,1865.1852
1559,1869.901
1560,1871.6533
1561,1869.4242
1562,1862.428
1563,1851.1343
1564,1836.9668
1565,1821.3822
1566,1805.5875
1567,1790.61
1568,1777.0632
1569,1765.0653
1570,1754.4753
1571,1744.9778
1572,1736.1511
1573,1727.6327
1574,1719.2699
1575,1711.1117
1576,1825.6858
1577,1771.3018
1578,1791.7047
1579,1810.8352
1580,1828.7979
1581,1845.6952
1582,1861.4142
1583,1875.7083
1584,1888.1952
1585,1898.7196
1586,1907.5127
1587,1915.0708
1588,1921.4509
1589,1926.0936
1590,1903.7368
1591,1700.9781
1592,1725.0748
1593,1747.1324
1594,1767.4934
1595,1786.2637
1596,1803.4757
1597,1818.9291
1598,1832.2961
1599,1843.4382
1600,1852.7075
1601,1860.5084
1602,1866.6282
1603,1870.3071
1604,1870.5656
1605,1866.4247
1606,1857.6488
1607,1845.2546
1608,1830.6956
1609,1815.1619
1610,1799.7632
1611,1785.4446
1612,1772.6626
1613,1761.4176
1614,1751.4946
1615,1742.504
1616,1733.9877
1617,1725.6023
1618,1717.2538
1619,1825.9338
1620,1761.4559
1621,1781.8455
1622,1801.055
1623,1819.1182
1624,1836.172
1625,1852.1947
1626,1867.0021
1627,1880.2794
1628,1891.7246
1629,1901.4391
1630,1909.9055
1631,1917.3807
1632,1923.4342
1633,1896.6025
1634,1691.814
1635,1715.9858
1636,1738.0714
1637,1758.5037
1638,1777.4093
1639,1794.8896
1640,1810.8027
1641,1824.8527
1642,1836.8038
1643,1846.8718
1644,1855.5472
1645,1862.8402
1646,1868.1455
1647,1870.5635
1648,1869.043
1649,1862.9808
1650,1852.6843
1651,1839.4968
1652,1824.6573
1653,1809.2148
1654,1794.2863
1655,1780.6869
1656,1768.6974
1657,1758.1971
1658,1748.893
1659,1740.3186
1660,1731.993
1661,1723.6161
1662,1826.1398
1663,1751.9105
1664,1772.2646
1665,1791.4943
1666,1809.7142
1667,1826.8728
1668,1843.1254
1669,1858.3425
1670,1872.263
1671,1884.5643
1672,1895.178
1673,1904.5
1674,1912.9095
1675,1920.2007
1676,1889.1141
1677,1682.6863
1678,1706.998
1679,1729.1553
1680,1749.6503
1681,1768.7173
1682,1786.3882
1683,1802.7054
1684,1817.366
1685,1830.0931
