,Predicted Fatal Cases
349,202.75096
350,205.51842
351,207.45914
352,208.60437
353,208.92108
354,208.19853
355,206.37936
356,204.38109
357,202.6192
358,200.79544
359,198.88591
360,197.01425
361,195.2332
362,193.4192
363,191.65327
364,189.89796
365,187.59834
366,184.96568
367,182.30243
368,179.64148
369,177.0343
370,174.50209
371,172.07101
372,197.33578
373,178.81416
374,187.09909
375,194.34598
376,200.56989
377,205.55281
378,209.37459
379,212.23802
380,214.34657
381,215.846
382,216.74197
383,216.95561
384,216.25821
385,214.8931
386,218.35654
387,165.44484
388,173.91478
389,181.54085
390,188.37756
391,194.04825
392,198.38739
393,201.64696
394,204.07541
395,205.78188
396,206.80168
397,207.03442
398,206.55934
399,205.2999
400,203.28676
401,201.36191
402,199.74539
403,198.1091
404,196.33763
405,194.50323
406,192.66165
407,190.73
408,188.85626
409,187.0076
410,184.77687
411,182.0914
412,179.3738
413,176.72139
414,174.14537
415,197.81789
416,174.13344
417,181.93199
418,188.81383
419,194.9688
420,200.38597
421,204.77959
422,208.17456
423,210.78542
424,212.78178
425,214.25589
426,215.2634
427,215.7735
428,215.64514
429,215.0977
430,162.2615
431,169.96121
432,176.83937
433,183.15218
434,189.00063
435,193.9601
436,197.70854
437,200.44868
438,202.43071
439,203.7809
440,204.53781
441,204.60506
442,204.24242
443,203.53746
444,202.33604
445,200.46397
446,198.58948
447,197.01324
448,195.41353
449,193.67255
450,191.8254
451,189.92052
452,187.89867
453,185.92802
454,184.00368
455,181.8492
456,179.10866
457,176.39241
458,198.64235
459,170.608
460,177.89948
461,184.30559
462,190.05359
463,195.36111
464,200.14777
465,204.07323
466,207.06197
467,209.35075
468,211.13847
469,212.51823
470,213.49155
471,214.04141
472,210.12926
473,160.2348
474,167.34674
475,173.51279
476,179.13725
477,184.39221
478,189.40811
479,193.73735
480,196.94998
481,199.1802
482,200.65352
483,201.55159
484,202.00648
485,201.99225
486,201.7638
487,201.40083
488,200.77017
489,199.63792
490,197.79024
491,195.84355
492,194.20665
493,192.569
494,190.81404
495,188.946
496,186.99898
497,184.9452
498,182.91138
499,180.9408
500,178.88548
501,199.81715
502,168.12234
503,174.92114
504,180.84927
505,186.1165
506,190.93642
507,195.54927
508,199.8548
509,203.43425
510,206.10701
511,208.0857
512,209.5872
513,210.74239
514,211.56245
515,204.77289
516,159.1423
517,165.7014
518,171.31465
519,176.32439
520,180.94261
521,185.35442
522,189.64476
523,193.37009
524,196.04776
525,197.76236
526,198.73872
527,199.22462
528,199.45226
529,199.4458
530,199.33896
531,199.14409
532,198.78163
533,198.11739
534,196.93723
535,195.03574
536,192.97244
537,191.23126
538,189.54274
539,187.764
540,185.8872
541,183.9332
542,181.90665
543,179.85379
544,200.41287
545,166.6041
546,172.92085
547,178.3418
548,183.18231
549,187.52864
550,191.5848
551,195.6069
552,199.51166
553,202.80905
554,205.23633
555,206.95416
556,208.16852
557,209.0125
558,199.92972
559,158.71451
560,164.79405
561,169.99123
562,174.45335
563,178.55424
564,182.36284
565,186.07571
566,189.7281
567,192.84781
568,194.9632
569,196.15854
570,196.72433
571,196.95442
572,197.06546
573,197.08902
574,197.01732
575,196.8752
576,196.5918
577,196.12708
578,195.3524
579,194.07993
580,192.10733
581,189.92862
582,188.074
583,186.3534
584,184.56348
585,182.70213
586,180.77725
587,199.60776
588,165.88106
589,171.63683
590,176.65929
591,181.07077
592,185.05466
593,188.67044
594,192.08897
595,195.6116
596,199.14459
597,202.16739
598,204.36314
599,205.84317
600,206.78392
601,195.90541
602,158.7052
603,164.4468
604,169.23721
605,173.30893
606,176.88274
607,180.23724
608,183.41962
609,186.54553
610,189.61885
611,192.1519
612,193.7145
613,194.46617
614,194.76562
615,194.8633
616,194.89876
617,194.90729
618,194.81285
619,194.62546
620,194.33966
621,193.90665
622,193.2823
623,192.38301
624,191.01651
625,188.98718
626,186.7201
627,184.77686
628,183.02557
629,181.27255
630,197.1311
631,165.69505
632,171.02266
633,175.63234
634,179.63411
635,183.26566
636,186.5839
637,189.6004
638,192.50412
639,195.60666
640,198.77942
641,201.50002
642,203.42902
643,204.64244
644,192.89264
645,158.93976
646,164.42331
647,168.89299
648,172.66336
649,175.81831
650,178.73544
651,181.51733
652,184.16707
653,186.75784
654,189.28609
655,191.2814
656,192.40248
657,192.87079
658,193.01228
659,193.0108
660,192.94542
661,192.84525
662,192.705
663,192.44316
664,192.07086
665,191.59602
666,190.98807
667,190.20407
668,189.18683
669,187.75343
670,185.7019
671,183.38878
672,181.3935
673,193.79822
674,165.84573
675,170.85855
676,175.08534
677,178.73209
678,181.98898
679,185.01111
680,187.795
681,190.36124
682,192.87581
683,195.60417
684,198.42125
685,200.79936
686,202.39893
687,190.61707
688,159.25897
689,164.5472
690,168.82417
691,172.33081
692,175.24814
693,177.77087
694,180.14833
695,182.427
696,184.58278
697,186.67247
698,188.71552
699,190.30388
700,191.166
701,191.48785
702,191.51701
703,191.39832
704,191.19518
705,190.94382
706,190.6537
707,190.31552
708,189.85178
709,189.27776
710,188.6124
711,187.83789
712,186.92188
713,185.80382
714,184.33154
715,182.29565
716,190.3357
717,166.18599
718,170.93277
719,174.86404
720,178.23254
721,181.16864
722,183.82668
723,186.38185
724,188.78722
725,191.0112
726,193.1969
727,195.5878
728,198.04599
729,200.04291
730,188.81071
731,159.55928
732,164.7506
733,168.90274
734,172.2362
735,174.98213
736,177.24725
737,179.25575
738,181.1523
739,182.95494
740,184.62976
741,186.28395
742,187.97345
743,189.33344
744,190.0733
745,190.308
746,190.23495
747,189.9829
748,189.62535
749,189.19785
750,188.72922
751,188.22523
752,187.67674
753,187.0108
754,186.2492
755,185.41653
756,184.50415
757,183.48749
758,182.30284
759,187.4812
760,166.56567
761,171.12495
762,174.86432
763,178.03026
764,180.67592
765,183.04886
766,185.30763
767,187.51799
768,189.61375
769,191.54538
770,193.43822
771,195.51236
772,197.60205
773,187.34875
774,159.80887
775,164.95708
776,169.03857
777,172.2621
778,174.88051
779,177.0166
780,178.763
781,180.30312
782,181.73244
783,183.06885
784,184.32529
785,185.67305
786,187.17918
787,188.43355
788,189.10255
789,189.26283
790,189.08975
791,188.70645
792,188.18971
793,187.59042
794,186.93607
795,186.25087
796,185.53978
797,184.79521
798,183.95416
799,183.03795
800,182.0746
801,181.05997
802,185.55757
803,166.91171
804,171.3709
805,174.9794
806,177.99069
807,180.4429
808,182.59897
809,184.58595
810,186.52728
811,188.45232
812,190.2777
813,191.94154
814,193.55595
815,195.31236
816,186.16977
817,159.95801
818,165.11078
819,169.16794
820,172.32979
821,174.87811
822,176.92804
823,178.53543
824,179.81992
825,180.90622
826,181.88072
827,182.7994
828,183.76308
829,184.96983
830,186.40523
831,187.59494
832,188.19814
833,188.28168
834,188.01082
835,187.50607
836,186.84578
837,186.08456
838,185.2626
839,184.40298
840,183.52509
841,182.63432
842,181.72578
843,180.7525
844,179.72055
845,184.2721
846,167.19536
847,171.60483
848,175.1334
849,178.03125
850,180.36333
851,182.36159
852,184.16101
853,185.84607
854,187.52182
855,189.19348
856,190.76418
857,192.16454
858,193.49635
859,185.2756
860,159.97168
861,165.17126
862,169.22937
863,172.38472
864,174.90495
865,176.91023
866,178.44603
867,179.58228
868,180.4258
869,181.06642
870,181.6262
871,182.24866
872,183.0811
873,184.25508
874,185.65457
875,186.77882
876,187.30783
877,187.31036
878,186.94589
879,186.33244
880,185.54865
881,184.65044
882,183.68077
883,182.67267
884,181.64514
885,180.6127
886,179.58089
887,178.54646
888,183.33232
889,167.37552
890,171.77919
891,175.27156
892,178.09273
893,180.3577
894,182.25728
895,183.92331
896,185.4316
897,186.8661
898,188.30325
899,189.73166
900,191.04454
901,192.16875
902,184.60251
903,159.70647
904,165.07382
905,169.19807
906,172.38725
907,174.91333
908,176.90114
909,178.40015
910,179.47101
911,180.17331
912,180.5791
913,180.81277
914,181.07607
915,181.55904
916,182.36618
917,183.54079
918,184.90009
919,185.94688
920,186.3928
921,186.31264
922,185.86092
923,185.1527
924,184.26591
925,183.25693
926,182.16951
927,181.03859
928,179.89046
929,178.73888
930,177.59285
931,182.58601
932,167.4097
933,171.84294
934,175.33937
935,178.13844
936,180.37064
937,182.21472
938,183.79684
939,185.1905
940,186.4526
941,187.65976
942,188.86502
943,190.04228
944,191.07814
945,184.08359
946,159.09831
947,164.59915
948,168.86522
949,172.19724
950,174.80743
951,176.86578
952,178.35931
953,179.40363
954,180.03477
955,180.30536
956,180.31206
957,180.25491
958,180.37355
959,180.82062
960,181.63733
961,182.80785
962,184.1119
963,185.07014
964,185.42816
965,185.26715
966,184.73683
967,183.94858
968,182.97885
969,181.88371
970,180.7071
971,179.48416
972,178.24184
973,176.99852
974,181.9754
975,167.08498
976,171.6252
977,175.20221
978,178.00497
979,180.25493
980,182.11937
981,183.70888
982,185.04028
983,186.19885
984,187.23828
985,188.22282
986,189.18568
987,190.08784
988,183.65988
989,158.31543
990,163.96512
991,168.32556
992,171.75842
993,174.49403
994,176.6085
995,178.17314
996,179.28656
997,179.91138
998,180.12727
999,180.0129
1000,179.73518
1001,179.53491
1002,179.6097
1003,180.05756
1004,180.88179
1005,182.03204
1006,183.26698
1007,184.13054
1008,184.40065
1009,184.16437
1010,183.56628
1011,182.71346
1012,181.68008
1013,180.52126
1014,179.28033
1015,177.99191
1016,176.6824
1017,181.47708
1018,166.55357
1019,171.19518
1020,174.83754
1021,177.71573
1022,180.03998
1023,181.92897
1024,183.50543
1025,184.84476
1026,185.9955
1027,186.96257
1028,187.78574
1029,188.52298
1030,189.19043
1031,183.25664
1032,157.31932
1033,163.10886
1034,167.55258
1035,171.08188
1036,173.9027
1037,176.13435
1038,177.79587
1039,178.93378
1040,179.62616
1041,179.89056
1042,179.73154
1043,179.34814
1044,178.94199
1045,178.69855
1046,178.76088
1047,179.2033
1048,180.02704
1049,181.1766
1050,182.35168
1051,183.12018
1052,183.30692
1053,183.00385
1054,182.35048
1055,181.44885
1056,180.37012
1057,179.16751
1058,177.8831
1059,176.5503
1060,181.04303
1061,165.85698
1062,170.62396
1063,174.3557
1064,177.28035
1065,179.62215
1066,181.56306
1067,183.20107
1068,184.5365
1069,185.65042
1070,186.58968
1071,187.37347
1072,187.98102
1073,188.45226
1074,182.75258
1075,156.01764
1076,161.98647
1077,166.60493
1078,170.27782
1079,173.2089
1080,175.5159
1081,177.25143
1082,178.50334
1083,179.24109
1084,179.51657
1085,179.40211
1086,179.02576
1087,178.50917
1088,178.05719
1089,177.80664
1090,177.86903
1091,178.30588
1092,179.11198
1093,180.21805
1094,181.35791
1095,182.03944
1096,182.15102
1097,181.79178
1098,181.09644
1099,180.16144
1100,179.0539
1101,177.82442
1102,176.51305
1103,180.67552
1104,164.99876
1105,169.87804
1106,173.67615
1107,176.6429
1108,179.04477
1109,181.03798
1110,182.71124
1111,184.11354
1112,185.27966
1113,186.19008
1114,186.91656
1115,187.47696
1116,187.86075
1117,182.15584
1118,154.57149
1119,160.69444
1120,165.48486
1121,169.30019
1122,172.35538
1123,174.75758
1124,176.5713
1125,177.89091
1126,178.73544
1127,179.08525
1128,178.98749
1129,178.60771
1130,178.09862
1131,177.58453
1132,177.12424
1133,176.87216
1134,176.92628
1135,177.34723
1136,178.13318
1137,179.19186
1138,180.25635
1139,180.89543
1140,180.94249
1141,180.53886
1142,179.81442
1143,178.86005
1144,177.7379
1145,176.49515
1146,180.34174
1147,163.84395
1148,168.88164
1149,172.81876
1150,175.88033
1151,178.3614
1152,180.4266
1153,182.15338
1154,183.58861
1155,184.77354
1156,185.7354
1157,186.46213
1158,186.96983
1159,187.27637
1160,181.50345
1161,152.94917
1162,159.26569
1163,164.23285
1164,168.1972
1165,171.37944
1166,173.86444
1167,175.77658
1168,177.17758
1169,178.08563
1170,178.51816
1171,178.50496
1172,178.13838
1173,177.62175
1174,177.06474
1175,176.5432
1176,176.12012
1177,175.8634
1178,175.90317
1179,176.30185
1180,177.05852
1181,178.08754
1182,179.0985
1183,179.69366
1184,179.69412
1185,179.25755
1186,178.51564
1187,177.55347
1188,176.42798
1189,180.01024
1190,162.51816
1191,167.72603
1192,171.78552
1193,174.96606
1194,177.5369
1195,179.68831
1196,181.47986
1197,182.96442
1198,184.18527
1199,185.16576
1200,185.91977
1201,186.46173
1202,186.7319
1203,180.69304
1204,151.18962
1205,157.71336
1206,162.85875
1207,166.97311
1208,170.26744
1209,172.8555
1210,174.87639
1211,176.37175
1212,177.35742
1213,177.85005
1214,177.9056
1215,177.62819
1216,177.12315
1217,176.55638
1218,175.98746
1219,175.46407
1220,175.04446
1221,174.80344
1222,174.824
1223,175.19887
1224,175.9278
1225,176.91574
1226,177.87843
1227,178.434
1228,178.41954
1229,177.96034
1230,177.21014
1231,176.24896
1232,179.65414
1233,161.07562
1234,166.45384
1235,170.63342
1236,173.92781
1237,176.60733
1238,178.85527
1239,180.71986
1240,182.27153
1241,183.5429
1242,184.55472
1243,185.32437
1244,185.86517
1245,186.1686
1246,179.74112
1247,149.27264
1248,156.05014
1249,161.37558
1250,165.62912
1251,169.02606
1252,171.72997
1253,173.86504
1254,175.46454
1255,176.54053
1256,177.10657
1257,177.21838
1258,176.99751
1259,176.58275
1260,176.02548
1261,175.4447
1262,174.87213
1263,174.34369
1264,173.91385
1265,173.66248
1266,173.68471
1267,174.04489
1268,174.75119
1269,175.70534
1270,176.61917
1271,177.13942
1272,177.1315
1273,176.65793
1274,175.90596
1275,179.25215
1276,159.53226
1277,165.07996
1278,169.37286
1279,172.77913
1280,175.57281
1281,177.91393
1282,179.86957
1283,181.49994
1284,182.83556
1285,183.89406
1286,184.69324
1287,185.24522
1288,185.5449
1289,178.7038
1290,147.16476
1291,154.28433
1292,159.78777
1293,164.17485
1294,167.67322
1295,170.49252
1296,172.74115
1297,174.44986
1298,175.62596
1299,176.27812
1300,176.45854
1301,176.28894
1302,175.91486
1303,175.43889
1304,174.87994
1305,174.29408
1306,173.71536
1307,173.1772
1308,172.73492
1309,172.46959
1310,172.4773
1311,172.83244
1312,173.5416
1313,174.46988
1314,175.34457
1315,175.82848
1316,175.82388
1317,175.35826
1318,178.70956
1319,157.89902
1320,163.60573
1321,168.0164
1322,171.53207
1323,174.43825
1324,176.87302
1325,178.92473
1326,180.64198
1327,182.05293
1328,183.17142
1329,184.01526
1330,184.59256
1331,184.90016
1332,177.59644
1333,144.95537
1334,152.34175
1335,158.11253
1336,162.63629
1337,166.2297
1338,169.15384
1339,171.50894
1340,173.32584
1341,174.60744
1342,175.35599
1343,175.61755
1344,175.51035
1345,175.1819
1346,174.74042
1347,174.23978
1348,173.69582
1349,173.1029
1350,172.51404
1351,171.96487
1352,171.5126
1353,171.23871
1354,171.23909
1355,171.58824
1356,172.2916
1357,173.22215
1358,174.0658
1359,174.52109
1360,174.5001
1361,178.07286
1362,156.0391
1363,162.00003
1364,166.57617
1365,170.20018
1366,173.21356
1367,175.73744
1368,177.88501
1369,179.69312
1370,181.1849
1371,182.37581
1372,183.27818
1373,183.8955
1374,184.22372
1375,176.43794
1376,142.642
1377,150.26817
1378,156.34753
1379,161.02579
1380,164.71155
1381,167.72902
1382,170.17844
1383,172.09608
1384,173.48254
1385,174.33229
1386,174.66109
1387,174.61406
1388,174.34688
1389,173.97127
1390,173.514
1391,173.00145
1392,172.45172
1393,171.86955
1394,171.26999
1395,170.71297
1396,170.25679
1397,169.98206
1398,169.98328
1399,170.33391
1400,171.03616
1401,171.9676
1402,172.79099
1403,173.22308
1404,177.3479
1405,154.01866
1406,160.24692
1407,165.06024
1408,168.79689
1409,171.90253
1410,174.5173
1411,176.7352
1412,178.58409
1413,180.14433
1414,181.42252
1415,182.41708
1416,183.11812
1417,183.50516
1418,175.24527
1419,140.22218
1420,148.0932
1421,154.41032
1422,159.33324
1423,163.13135
1424,166.23439
1425,168.75607
1426,170.72336
1427,172.17824
1428,173.1052
1429,173.5335
1430,173.57428
1431,173.37737
1432,173.05658
1433,172.6687
1434,172.23148
1435,171.72656
1436,171.16301
1437,170.57466
1438,169.98907
1439,169.43225
1440,168.9802
1441,168.71284
1442,168.72243
1443,169.08072
1444,169.78616
1445,170.70819
1446,171.52531
1447,176.52669
1448,151.90489
1449,158.35805
1450,163.44424
1451,167.33163
1452,170.52658
1453,173.19287
1454,175.42717
1455,177.35846
1456,179.00179
1457,180.36105
1458,181.43109
1459,182.19731
1460,182.63657
1461,174.02554
1462,137.69492
1463,145.81253
1464,152.38672
1465,157.5366
1466,161.49539
1467,164.62888
1468,167.17603
1469,169.21666
1470,170.75536
1471,171.7777
1472,172.30695
1473,172.44348
1474,172.32758
1475,172.07109
1476,171.73544
1477,171.34337
1478,170.89807
1479,170.40031
1480,169.83945
1481,169.243
1482,168.65704
1483,168.12318
1484,167.696
1485,167.4433
1486,167.46707
1487,167.837
1488,168.54776
1489,169.46162
1490,175.54437
1491,149.69356
1492,156.37978
1493,161.67543
1494,165.80779
1495,169.09032
1496,171.74644
1497,174.05237
1498,176.05612
1499,177.77588
1500,179.214
1501,180.36209
1502,181.20093
1503,181.70158
1504,172.7288
1505,135.06122
1506,143.42107
1507,150.26817
1508,155.62617
1509,159.71156
1510,162.92453
1511,165.54092
1512,167.643
1513,169.25092
1514,170.35712
1515,170.98279
1516,171.21844
1517,171.19269
1518,171.01126
1519,170.73663
1520,170.39601
1521,169.99596
1522,169.53737
1523,169.02579
1524,168.47537
1525,167.89255
1526,167.31496
1527,166.79668
1528,166.39105
1529,166.17038
1530,166.2204
1531,166.60654
1532,167.31706
1533,174.4836
1534,147.38167
1535,154.30484
1536,159.83081
1537,164.1616
1538,167.51244
1539,170.25357
1540,172.62456
1541,174.68947
1542,176.475
1543,177.98497
1544,179.20886
1545,180.12347
1546,180.69398
1547,171.39691
1548,132.3223
1549,140.91595
1550,148.0452
1551,153.52036
1552,157.78322
1553,161.17004
1554,163.85971
1555,166.01675
1556,167.6802
1557,168.85542
1558,169.5671
1559,169.89941
1560,169.96936
1561,169.87306
1562,169.66988
1563,169.38887
1564,169.04002
1565,168.6263
1566,168.15288
1567,167.63121
1568,167.07954
1569,166.52254
1570,165.97511
1571,165.47911
1572,165.09799
1573,164.90071
1574,164.97029
1575,165.37013
1576,173.33371
1577,144.96815
1578,152.12704
1579,157.90135
1580,162.3552
1581,165.86865
1582,168.71954
1583,171.15509
1584,173.27245
1585,175.11128
1586,176.68195
1587,177.9745
1588,178.96298
1589,179.60759
1590,169.99442
1591,129.46625
1592,138.28946
1593,145.58366
1594,151.3241
1595,155.78061
1596,159.332
1597,162.13551
1598,164.3481
1599,166.0581
1600,167.28764
1601,168.07092
1602,168.49136
1603,168.65698
1604,168.65321
1605,168.53204
1606,168.3207
1607,168.03064
1608,167.66736
1609,167.23758
1610,166.75232
1611,166.22742
1612,165.68309
1613,165.14331
1614,164.63379
1615,164.16992
1616,163.8125
1617,163.64053
1618,163.73598
1619,172.10295
1620,142.43973
1621,149.83968
1622,155.84917
1623,160.43878
1624,164.1146
1625,167.144
1626,169.65047
1627,171.81688
1628,173.69855
1629,175.31677
1630,176.6666
1631,177.72205
1632,178.43971
1633,168.504
1634,126.51701
1635,135.405
1636,142.99538
1637,149.03268
1638,153.70438
1639,157.40352
1640,160.34749
1641,162.64182
1642,164.39606
1643,165.669
1644,166.50874
1645,167.0009
1646,167.25912
1647,167.35045
1648,167.3202
1649,167.18925
1650,166.96748
1651,166.6616
1652,166.28053
1653,165.83676
1654,165.34589
1655,164.82593
1656,164.29353
1657,163.7658
1658,163.27763
1659,162.85979
1660,162.53557
1661,162.38577
1662,170.86948
1663,139.8066
1664,147.42853
1665,153.59082
1666,158.43864
1667,162.3021
1668,165.47942
1669,168.1114
1670,170.33032
1671,172.24927
1672,173.90317
1673,175.29662
1674,176.40756
1675,177.192
1676,166.96262
1677,123.375534
1678,132.40295
1679,140.28548
1680,146.6233
1681,151.54105
1682,155.41376
1683,158.46909
1684,160.86415
1685,162.68445
1686,163.9832
1687,164.83401
1688,165.36237
1689,165.70049
1690,165.92528
1691,166.03249
1692,165.9918
1693,165.849
1694,165.60938
1695,165.28323
1696,164.88542
1697,164.43304
1698,163.94412
1699,163.42665
1700,162.9046
1701,162.40387
1702,161.94533
1703,161.55676
1704,161.28008
1705,169.65442
1706,137.07565
1707,144.79855
1708,151.22032
1709,156.33606
1710,160.412
1711,163.74258
1712,166.52707
1713,168.8147
1714,170.77182
1715,172.45403
1716,173.87819
1717,175.03065
1718,175.87077
1719,165.35843
1720,120.088165
1721,129.29703
1722,137.46005
1723,144.10983
1724,149.27933
1725,153.3442
1726,156.53993
1727,159.01926
1728,160.89175
1729,162.22496
1730,163.1076
1731,163.67802
1732,164.0765
1733,164.3819
1734,164.61108
1735,164.72624
1736,164.6728
1737,164.50981
1738,164.24666
1739,163.90009
1740,163.4899
1741,163.03581
1742,162.5423
1743,162.03574
1744,161.53883
1745,161.06686
1746,160.63791
1747,160.2768
1748,168.4682
1749,134.21645
1750,142.03528
1751,148.74178
1752,154.13922
1753,158.44246
1754,161.93643
1755,164.83981
1756,167.26732
1757,169.26938
1758,170.9787
1759,172.42455
1760,173.60481
1761,174.4865
1762,163.68167
1763,116.73085
1764,126.094284
1765,134.52095
1766,141.48979
1767,146.92604
1768,151.19446
1769,154.53662
1770,157.1275
1771,159.07072
1772,160.44627
1773,161.3604
1774,161.96344
1775,162.40701
1776,162.77791
1777,163.09325
1778,163.33318
1779,163.43652
1780,163.36082
1781,163.17046
1782,162.88222
1783,162.51854
1784,162.10211
1785,161.6387
1786,161.15273
1787,160.66866
1788,160.19873
1789,159.75555
1790,159.35469
1791,167.311
1792,131.17647
1793,139.16924
1794,146.15427
1795,151.84367
1796,156.39232
1797,160.06708
1798,163.09845
1799,165.6366
1800,167.73972
1801,169.48148
1802,170.9459
1803,172.14355
1804,173.05247
1805,161.92413
1806,113.31547
1807,122.80306
1808,131.47183
1809,138.7546
1810,144.47768
1811,148.96567
1812,152.46973
1813,155.17586
1814,157.204
1815,158.64278
1816,159.59712
1817,160.2301
1818,160.7078
1819,161.12894
1820,161.51706
1821,161.84926
1822,162.08853
1823,162.15991
1824,162.05295
1825,161.83202
1826,161.52081
1827,161.14539
1828,160.71689
1829,160.25383
1830,159.78703
1831,159.3274
1832,158.88463
1833,158.46898
1834,166.14813
1835,128.06398
1836,136.20007
1837,143.45833
1838,149.44627
1839,154.25658
1840,158.12813
1841,161.30325
1842,163.94139
1843,166.15437
1844,167.95787
1845,169.44781
1846,170.65807
1847,171.58267
1848,160.07928
1849,109.85181
1850,119.432076
1851,128.31787
1852,135.90256
1853,141.93185
1854,146.65416
1855,150.33511
1856,153.17133
1857,155.29338
1858,156.79877
1859,157.80568
1860,158.48178
1861,158.99136
1862,159.45064
1863,159.89677
1864,160.30978
1865,160.64662
1866,160.86795
1867,160.89148
1868,160.74814
1869,160.49736
1870,160.1677
1871,159.77924
1872,159.34029
1873,158.8924
1874,158.44687
1875,158.01216
